currents,frequencies,response
-3.0,6280650000.0,-62.90566246335402
-3.0,6280675000.0,-62.31405400081931
-3.0,6280700000.0,-62.698212406027345
-3.0,6280725000.0,-62.24344287982785
-3.0,6280750000.0,-62.72390562509226
-3.0,6280775000.0,-61.94341676118811
-3.0,6280800000.0,-61.66860189373317
-3.0,6280825000.0,-61.80429345389048
-3.0,6280850000.0,-61.70973881822051
-3.0,6280875000.0,-61.90278270432675
-3.0,6280900000.0,-61.64401949923558
-3.0,6280925000.0,-61.71351684920996
-3.0,6280950000.0,-61.33658819653146
-3.0,6280975000.0,-61.36158930543495
-3.0,6281000000.0,-61.40555075404622
-3.0,6281025000.0,-61.25937251322241
-3.0,6281050000.0,-61.29623606285128
-3.0,6281075000.0,-60.856439044141
-3.0,6281100000.0,-60.87966620956266
-3.0,6281125000.0,-61.12563452926742
-3.0,6281150000.0,-60.72362479573115
-3.0,6281175000.0,-61.03084186154392
-3.0,6281200000.0,-60.738558117442246
-3.0,6281225000.0,-60.61929146592714
-3.0,6281250000.0,-60.80542080962033
-3.0,6281275000.0,-60.695197040374
-3.0,6281300000.0,-60.94309632326559
-3.0,6281325000.0,-60.2577922051037
-3.0,6281350000.0,-60.49949427601989
-3.0,6281375000.0,-60.39179263880176
-3.0,6281400000.0,-60.21611444896684
-3.0,6281425000.0,-60.60254437813644
-3.0,6281450000.0,-60.43244714732552
-3.0,6281475000.0,-60.39021550848383
-3.0,6281500000.0,-60.339738253134385
-3.0,6281525000.0,-60.217724782322996
-3.0,6281550000.0,-60.339012097407064
-3.0,6281575000.0,-60.26121662643953
-3.0,6281600000.0,-60.518987181781235
-3.0,6281625000.0,-60.059503404877034
-3.0,6281650000.0,-60.37093269597614
-3.0,6281675000.0,-59.92528128539018
-3.0,6281700000.0,-60.02636736274024
-3.0,6281725000.0,-60.39548771264455
-3.0,6281750000.0,-60.143459393871666
-3.0,6281775000.0,-60.41316239680489
-3.0,6281800000.0,-60.04316314756291
-3.0,6281825000.0,-59.914533601795085
-3.0,6281850000.0,-60.10337339897823
-3.0,6281875000.0,-60.000230866279395
-3.0,6281900000.0,-60.11890658903816
-3.0,6281925000.0,-59.741312598776574
-3.0,6281950000.0,-60.28500124830319
-3.0,6281975000.0,-59.6549245009757
-3.0,6282000000.0,-59.959309774405455
-3.0,6282025000.0,-60.01674436731185
-3.0,6282050000.0,-59.753253669575564
